experiment,participant_id,prompt_idx,response,label,label_text,group,group_text,top1,avgk_set,conformal_marginal_set,conformal_conditional_set
control,0,550,9,2,Photographer,1.0,Male,2,2 3 ,2 3 ,2 3 
control,0,1755,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,0,1845,9,9,Model,0.0,Female,9,9 ,3 9 ,9 
control,0,153,3,0,Professor,1.0,Male,0,3 0 ,3 5 0 ,3 5 0 
control,0,343,1,1,Physician,0.0,Female,1,1 6 ,1 6 ,1 6 
control,0,840,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,0,313,1,1,Physician,0.0,Female,1,1 ,1 ,1 
control,0,1673,2,8,Painter,1.0,Male,8,8 ,8 ,8 
control,0,616,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,0,1174,3,5,Teacher,0.0,Female,3,3 5 ,3 5 0 ,3 5 0 
control,0,1417,1,7,Surgeon,1.0,Male,1,1 ,1 ,1 
control,0,1586,7,7,Surgeon,1.0,Male,7,7 ,7 ,7 
control,0,1956,0,9,Model,0.0,Female,2,2 ,2 ,2 
control,0,135,0,0,Professor,1.0,Male,0,0 ,0 ,0 
control,0,1273,6,6,Dentist,0.0,Female,6,6 ,6 ,6 
control,0,448,3,2,Photographer,1.0,Male,3,3 5 ,3 5 ,3 5 
control,0,1216,6,6,Dentist,1.0,Male,6,6 ,6 ,1 6 
control,0,61,5,0,Professor,0.0,Female,0,0 ,0 ,0 
control,0,85,8,0,Professor,1.0,Male,2,2 8 ,2 8 0 ,2 8 
control,0,1185,5,5,Teacher,1.0,Male,5,5 7 ,5 7 ,5 7 
control,0,1135,5,5,Teacher,0.0,Female,5,5 9 ,5 ,5 
control,0,409,2,2,Photographer,1.0,Male,2,2 ,2 ,2 3 
control,0,848,4,4,Psychologist,0.0,Female,4,4 ,4 ,4 
control,0,1560,7,7,Surgeon,0.0,Female,6,1 6 7 ,1 6 7 0 ,1 6 7 0 
control,0,865,4,4,Psychologist,0.0,Female,5,3 5 ,3 4 5 ,3 4 5 
control,0,383,1,1,Physician,1.0,Male,1,1 6 ,1 6 ,1 
control,0,799,3,3,Journalist,0.0,Female,3,3 ,3 ,3 
control,0,1693,2,8,Painter,1.0,Male,8,2 3 5 8 ,2 3 5 8 ,2 3 5 8 
control,0,1995,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,0,1930,9,9,Model,0.0,Female,9,9 ,9 ,9 
control,0,689,3,3,Journalist,1.0,Male,3,3 ,3 ,3 5 
control,0,1269,6,6,Dentist,1.0,Male,6,6 ,6 ,6 7 
control,0,414,2,2,Photographer,1.0,Male,2,2 ,2 ,2 
control,0,1604,8,8,Painter,0.0,Female,8,8 ,8 ,8 
control,0,294,1,1,Physician,0.0,Female,1,1 ,1 ,1 
control,0,991,4,4,Psychologist,1.0,Male,5,3 5 ,2 3 4 5 ,2 3 4 5 
control,0,1444,7,7,Surgeon,0.0,Female,7,1 7 ,1 7 ,1 7 
control,0,110,1,0,Professor,0.0,Female,1,1 0 ,1 ,1 0 
control,0,1140,0,5,Teacher,1.0,Male,0,0 ,0 ,0 
