,participant_id,experiment,num_correct,time_taken,Age,Sex,Ethnicity
0,0,control,34,438.01,22,Female,White
1,1,control,33,650.6,24,Male,Mixed
2,2,control,35,789.1,24,Female,Black
3,3,control,31,1051.44,47,Female,White
4,4,control,28,375.05,36,Male,White
5,5,control,31,326.14,36,Male,White
6,6,control,34,326.3,35,Male,White
7,7,control,28,1189.25,30,Female,Black
8,8,control,32,322.99,37,Male,White
9,9,control,30,319.97,27,Female,White
10,10,control,19,394.3,21,Female,Black
11,11,control,32,324.12,39,Male,White
12,12,control,30,752.61,30,Female,Black
13,13,control,29,1012.0,20,Female,Black
14,14,control,36,431.57,22,Male,White
15,15,control,31,539.36,40,Male,Asian
16,16,control,25,227.1,20,Male,White
17,17,control,31,554.17,36,Female,White
18,18,control,29,588.11,49,Female,White
19,19,control,24,1039.64,27,Female,Black
20,20,control,38,897.2,25,Female,Black
21,21,control,34,271.4,33,Male,White
22,22,control,31,640.66,27,Female,Black
23,23,control,25,347.84,27,Male,White
24,24,control,35,409.3,29,Male,White
25,25,control,34,525.0,24,Female,White
26,26,control,27,285.31,20,Female,Asian
27,27,control,29,1114.95,27,Male,White
28,28,control,37,1135.32,56,Male,White
29,29,control,36,203.17,44,Male,White
30,30,control,36,364.15,48,Male,White
31,31,control,28,418.68,25,Female,Mixed
32,32,control,30,644.6,25,Female,Black
33,33,control,30,620.36,19,Male,White
34,34,control,29,1311.65,28,Female,Black
35,35,control,30,677.9,29,Male,Mixed
36,36,control,24,405.35,19,Male,White
37,37,control,38,609.84,21,Male,White
38,38,control,35,513.18,29,Female,White
39,39,control,26,224.96,29,Male,White
40,40,control,20,423.44,26,Female,Black
41,41,control,31,315.43,23,Female,Black
42,42,control,31,543.8,23,Male,White
43,43,control,24,322.76,45,Male,White
44,44,control,34,540.32,26,Male,White
45,45,control,25,623.47,41,Female,Black
46,46,control,33,260.83,24,Female,Other
47,47,control,19,391.24,23,Male,Asian
48,48,control,36,280.86,31,Male,White
49,49,control,32,1161.85,23,Male,Black
50,50,avgk,29,294.41,26,Female,White
51,51,avgk,36,792.63,47,Male,White
52,52,avgk,35,654.98,25,Male,Black
53,53,avgk,32,437.83,30,Female,White
54,54,avgk,41,232.63,50,Male,White
55,55,avgk,39,496.2,25,Male,White
56,56,avgk,37,385.64,26,Female,Mixed
57,57,avgk,33,1470.6,21,Female,Black
58,58,avgk,39,340.59,40,Male,White
59,59,avgk,30,184.44,26,Male,White
60,60,avgk,36,400.5,52,Male,White
61,61,avgk,30,662.23,28,Male,Black
62,62,avgk,34,1495.87,47,Female,Asian
63,63,avgk,36,308.39,18,Male,White
64,64,avgk,33,1645.22,34,Female,White
65,65,avgk,39,565.64,33,Female,White
66,66,avgk,34,434.98,24,Male,White
67,67,avgk,37,574.04,29,Male,White
68,68,avgk,36,302.7,41,Female,White
69,69,avgk,37,716.73,27,Male,Asian
70,70,avgk,32,859.44,24,Female,White
71,71,avgk,38,351.84,23,Female,White
72,72,avgk,39,1448.95,36,Male,Black
73,73,avgk,38,842.73,27,Female,Black
74,74,avgk,38,285.72,20,Male,White
75,75,avgk,31,418.13,37,Male,White
76,76,avgk,33,237.34,24,Female,White
77,77,avgk,37,482.68,51,Male,White
78,78,avgk,30,269.43,28,Male,White
79,79,avgk,38,626.05,23,Male,White
80,80,avgk,31,876.67,24,Male,Black
81,81,avgk,29,457.89,25,Female,Black
82,82,avgk,42,785.31,57,Male,White
83,83,avgk,34,578.08,31,Male,Black
84,84,avgk,31,297.66,32,Male,Mixed
85,85,avgk,37,506.15,26,Male,White
86,86,avgk,38,414.65,22,Female,White
87,87,avgk,35,372.78,26,Male,Mixed
88,88,avgk,32,302.34,22,Male,Black
89,89,avgk,35,438.85,22,Male,Other
90,90,avgk,38,627.69,43,Male,White
91,91,avgk,35,388.32,32,Female,Black
92,92,avgk,42,320.26,21,Female,White
93,93,avgk,24,737.02,23,Female,Black
94,94,avgk,30,369.91,33,Male,White
95,95,avgk,38,473.1,39,Female,White
96,96,avgk,38,491.26,42,Female,White
97,97,avgk,36,560.38,61,Female,White
98,98,avgk,37,961.59,23,Female,Black
99,99,avgk,39,400.91,40,Female,White
100,100,marginal,38,867.31,25,Female,Black
101,101,marginal,38,846.9,23,Female,Black
102,102,marginal,35,644.0,23,Male,White
103,103,marginal,40,860.87,22,Female,White
104,104,marginal,29,436.81,24,Female,Black
105,105,marginal,39,244.05,26,Male,Asian
106,106,marginal,39,672.52,22,Male,Black
107,107,marginal,37,514.89,30,Male,Black
108,108,marginal,36,493.8,24,Female,White
109,109,marginal,35,154.62,23,Male,White
110,110,marginal,37,274.99,29,Male,Black
111,111,marginal,33,905.82,31,Male,Black
112,112,marginal,34,518.18,24,Male,White
113,113,marginal,36,253.37,32,Male,White
114,114,marginal,30,891.69,18,Female,Black
115,115,marginal,40,237.66,27,Male,White
116,116,marginal,34,411.21,23,Male,White
117,117,marginal,39,745.77,23,Female,Black
118,118,marginal,36,578.44,21,Female,Mixed
119,119,marginal,38,766.25,50,Female,Black
120,120,marginal,31,348.06,24,Male,White
121,121,marginal,39,240.64,39,Female,White
122,122,marginal,36,503.84,24,Male,White
123,123,marginal,33,715.77,68,Female,White
124,124,marginal,38,466.21,27,Female,White
125,125,marginal,25,368.77,33,Male,White
126,126,marginal,34,697.15,46,Male,White
127,127,marginal,24,696.41,37,Male,Black
128,128,marginal,36,219.52,25,Male,Mixed
129,129,marginal,40,534.79,35,Male,White
130,130,marginal,36,295.53,23,Male,White
131,131,marginal,38,193.53,24,Male,White
132,132,marginal,28,684.84,20,Male,Black
133,133,marginal,38,753.45,28,Male,White
134,134,marginal,34,450.19,25,Female,White
135,135,marginal,34,489.7,26,Female,Black
136,136,marginal,30,420.81,31,Male,Black
137,137,marginal,32,265.89,20,Male,White
138,138,marginal,35,575.5,23,Female,Black
139,139,marginal,31,477.24,26,Male,Black
140,140,marginal,38,779.33,52,Female,Black
141,141,marginal,35,123.45,25,Male,White
142,142,marginal,38,923.71,49,Female,Mixed
143,143,marginal,38,364.62,33,Female,White
144,144,marginal,31,629.59,23,Female,White
145,145,marginal,34,516.04,32,Male,White
146,146,marginal,32,1359.64,26,Female,White
147,147,marginal,35,401.82,28,Male,Other
148,148,marginal,31,790.54,33,Male,Black
149,149,marginal,36,853.9,47,Female,White
150,150,conditional,38,462.16,24,Female,White
151,151,conditional,36,667.0,27,Male,White
152,152,conditional,36,264.1,27,Female,Black
153,153,conditional,27,534.35,23,Female,White
154,154,conditional,36,986.44,30,Female,Black
155,155,conditional,38,282.8,26,Male,White
156,156,conditional,33,1042.02,18,Female,Black
157,157,conditional,35,844.17,23,Female,Black
158,158,conditional,39,653.39,35,Female,White
159,159,conditional,40,506.09,28,Male,Black
160,160,conditional,34,521.07,31,Male,White
161,161,conditional,34,387.92,22,Female,Black
162,162,conditional,40,469.33,31,Female,Black
163,163,conditional,34,479.12,40,Female,White
164,164,conditional,36,956.06,24,Male,Black
165,165,conditional,37,226.84,35,Male,White
166,166,conditional,37,979.28,28,Male,Black
167,167,conditional,36,689.73,28,Male,Black
168,168,conditional,34,757.02,24,Female,Black
169,169,conditional,40,457.52,24,Male,White
170,170,conditional,33,429.48,26,Male,White
171,171,conditional,34,321.93,28,Female,White
172,172,conditional,37,199.36,27,Female,White
173,173,conditional,38,1136.46,26,Female,Mixed
174,174,conditional,37,321.11,20,Female,White
175,175,conditional,33,562.87,46,Male,White
176,176,conditional,37,503.49,22,Male,White
177,177,conditional,38,428.12,25,Female,White
178,178,conditional,30,530.22,45,Female,White
179,179,conditional,37,415.52,30,Male,Black
180,180,conditional,33,310.57,26,Prefer not to say,Other
181,181,conditional,37,263.14,23,Female,Asian
182,182,conditional,36,836.98,19,Female,White
