experiment,participant_id,prompt_idx,response,label,label_text,group,group_text,top1,avgk_set,conformal_marginal_set,conformal_conditional_set
control,200,643,10,10,Horse Rider,1.0,Middle,10,10,8 10,5 8 10 20
control,200,96,16,1,Backpacker,1.0,Middle,16,16,11 16,11 14 15 16
control,200,105,15,15,Repairman,3.0,Unknown,15,4 11 15 16,4 11 15 16,4 11 15 16
control,200,1334,17,17,Singer,1.0,Middle,17,17,17,11 17
control,200,744,1,18,Skateboarder,0.0,Younger,18,18,18,18
control,200,499,11,1,Backpacker,0.0,Younger,1,1 6 16,1 6 10 16,1
control,200,469,8,8,Gymnast,0.0,Younger,8,8,8,8
control,200,460,16,16,Salesperson,1.0,Middle,16,11 16,6 11 14 16,6 11 14 16
control,200,408,2,2,Boatman,3.0,Unknown,2,2,2,2
control,200,1263,8,8,Gymnast,1.0,Middle,8,8,8,8
control,200,1374,6,6,Guard,1.0,Middle,6,6,6 15,6 15 16
control,200,1055,13,13,Motorcyclist,1.0,Middle,13,13,13,13
control,200,1348,6,16,Salesperson,1.0,Middle,9,6 9 12,3 6 9 12,3 6 9 12
control,200,495,14,16,Salesperson,2.0,Older,2,2 14 16,2 14 16,2 4 11 14 16
control,200,730,1,3,Computer User,3.0,Unknown,1,1 2 11 16 17,1 2 11 16,1 2 11 16
control,200,956,15,6,Guard,1.0,Middle,6,6,6,6 20
control,200,1083,5,5,Farmer,2.0,Older,5,5 11 16,4 5 11 16,4 5 9 11 16
control,200,1389,13,13,Motorcyclist,3.0,Unknown,13,13,13,13
control,200,138,18,18,Skateboarder,3.0,Unknown,18,18,18,18
control,200,1303,13,13,Motorcyclist,3.0,Unknown,1,1 2 11 13 16,1 2 11 13,1 2 11 13
control,200,260,2,2,Boatman,1.0,Middle,2,2 6,2 6,2 6
control,200,389,13,1,Backpacker,2.0,Older,13,13,13,1 2 13 16
control,200,642,7,7,Guitarist,3.0,Unknown,7,7 17,7 17,7
control,200,369,9,9,Hairdresser,1.0,Middle,9,9,9,9
control,200,353,14,14,Painter,1.0,Middle,14,11 14,11 14,4 11 14
control,200,716,15,15,Repairman,0.0,Younger,15,15,15,15
control,200,349,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,200,606,3,3,Computer User,3.0,Unknown,3,3 6 8 16,3 6 8 16,3 6 8 16
control,200,1208,5,5,Farmer,1.0,Middle,1,1 11,1 5 11 16,1 5 11 16
control,200,751,6,12,Officer,1.0,Middle,6,6 16,3 6 11 16,3 6 11 16
control,200,30,8,11,Laborer,1.0,Middle,11,4 11 15,4 11 15,4 5 11 15
control,200,908,8,8,Gymnast,0.0,Younger,8,8,8,8
control,200,407,5,5,Farmer,2.0,Older,5,4 5 11 15 16,5 11 15 16,4 5 11 15 16
control,200,371,6,6,Guard,1.0,Middle,6,6 11 12,6 11 12 18,6 11 12 18
control,200,12,19,19,Speaker,1.0,Middle,12,1 8 10 12,1 8 10 12,1 8 10 12
control,200,179,7,7,Guitarist,1.0,Middle,17,1 2 5 7 9 11 14 15 16 17,1 2 7 17,1 2 7 17
control,200,517,14,14,Painter,0.0,Younger,14,11 14 15,11 14 15 16,11 14 15
control,200,942,2,2,Boatman,3.0,Unknown,2,1 2,1 2,1 2
control,200,455,5,11,Laborer,0.0,Younger,4,4 11 14,4 11 14,4 11
control,200,654,4,4,Craftsman,3.0,Unknown,4,4 11,2 4 11 15,2 4 11 15
control,200,89,19,19,Speaker,1.0,Middle,16,3 16,3 10 16 20,3 10 16 20
control,200,1342,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,200,522,8,4,Craftsman,0.0,Younger,8,1 2 4 6 8 11 15 16 20,2 8 11 16,2 8 11 16
control,200,850,3,3,Computer User,3.0,Unknown,16,11 16,3 11 15 16,3 11 15 16
control,200,923,12,12,Officer,3.0,Unknown,6,6 11 16,6 11 12 16,6 11 12 16
control,200,983,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,200,1159,17,17,Singer,0.0,Younger,17,17,17,17
control,200,1121,2,18,Skateboarder,3.0,Unknown,2,2 16 18,1 2 16 18,1 2 16 18
control,200,843,4,14,Painter,2.0,Older,16,4 11 16,4 11 15 16,4 11 14 15 16
control,200,167,17,17,Singer,0.0,Younger,17,17,11 17 19 20,17
control,201,387,20,20,Tennis Player,1.0,Middle,20,20,20,20
control,201,1376,8,16,Salesperson,2.0,Older,16,16,11 16,3 4 6 11 16
control,201,267,5,5,Farmer,3.0,Unknown,11,5 11,1 5 11,1 5 11
control,201,1350,12,13,Motorcyclist,3.0,Unknown,12,6 12 13,3 6 12 13,3 6 12 13
control,201,846,10,10,Horse Rider,3.0,Unknown,6,6,6,6
control,201,957,14,14,Painter,1.0,Middle,14,9 11 14 16,9 11 14 16,9 11 14 16
control,201,1298,1,18,Skateboarder,1.0,Middle,18,13 16 18,6 13 16 18,6 13 16 18
control,201,403,8,8,Gymnast,0.0,Younger,8,8,8,8
control,201,708,2,5,Farmer,2.0,Older,11,5 11,4 5 11,2 4 5 11 16
control,201,718,12,12,Officer,0.0,Younger,12,2 6 12 13,2 6 12 13,2 6 12 13
control,201,184,13,13,Motorcyclist,1.0,Middle,13,13,13,11 13
control,201,89,19,19,Speaker,1.0,Middle,16,3 16,3 10 16 20,3 10 16 20
control,201,305,17,17,Singer,1.0,Middle,17,17,17,17
control,201,488,16,3,Computer User,1.0,Middle,16,3 6 16,2 3 6 16,2 3 6 16
control,201,491,8,8,Gymnast,1.0,Middle,8,8,8,8
control,201,501,18,18,Skateboarder,0.0,Younger,13,2 6 11 13 16 18,11 13 16 18,11 13 16 18
control,201,859,12,12,Officer,1.0,Middle,6,2 6 12,2 6 12 13,2 6 12 13
control,201,340,15,15,Repairman,3.0,Unknown,15,3 6 9 11 15 16,3 9 11 15,3 9 11 15
control,201,714,16,16,Salesperson,3.0,Unknown,16,11 16,11 13 16,11 16
control,201,809,10,10,Horse Rider,1.0,Middle,10,5 8 10 12,5 8 10 12,5 8 10 12
control,201,297,7,7,Guitarist,1.0,Middle,7,7,7,7 13
control,201,1276,9,9,Hairdresser,1.0,Middle,9,9,9 15,5 9 11 15
control,201,312,9,9,Hairdresser,1.0,Middle,9,2 9 11 15,2 9 11 15,2 9 11 15
control,201,419,19,19,Speaker,1.0,Middle,20,5 6 8 10 11 16 17 20,8 16 17 20,8 16 17 20
control,201,459,2,2,Boatman,2.0,Older,2,2,2,2 6 14 15 16
control,201,998,17,17,Singer,0.0,Younger,17,17,11 17,17
control,201,811,6,12,Officer,1.0,Middle,6,6 10 11 15,6 10 11 15,6 10 11 15
control,201,1196,20,20,Tennis Player,3.0,Unknown,20,20,20,20
control,201,276,14,14,Painter,0.0,Younger,14,11 14 16,11 14 16,14 16
control,201,1257,16,16,Salesperson,1.0,Middle,16,5 11 16,4 5 11 16,4 5 11 16
control,201,455,9,11,Laborer,0.0,Younger,4,4 11 14,4 11 14,4 11
control,201,113,19,19,Speaker,2.0,Older,3,3 5 10 11 12 19,3 10 12 19,3 10 11 12 19
control,201,230,14,1,Backpacker,3.0,Unknown,1,1 16,1 6 14 16,1 6 14 16
control,201,712,15,15,Repairman,1.0,Middle,11,11 15,1 4 11 15,1 4 11 15
control,201,1060,6,6,Guard,0.0,Younger,6,6,6,6
control,201,158,4,4,Craftsman,1.0,Middle,11,4 5 11 16,4 5 11 16,4 5 11 16
control,201,544,11,11,Laborer,0.0,Younger,11,5 11 16,5 11 16,5 11 16
control,201,490,5,5,Farmer,0.0,Younger,5,5 11 16,5 11 16,5 11
control,201,306,14,14,Painter,1.0,Middle,14,11 14 16,4 11 14 16,4 11 14 16
control,201,1113,2,2,Boatman,1.0,Middle,2,2 14,2 11 14 17,2 11 14 17
control,201,6,14,3,Computer User,0.0,Younger,3,1 3 10 11 14 15 16 17 18 19,1 3 11 17,1 3 11 17
control,201,1377,8,8,Gymnast,0.0,Younger,8,8,8,8
control,201,486,7,7,Guitarist,1.0,Middle,17,1 6 7 11 17,1 6 7 17,1 6 7 17
control,201,82,7,7,Guitarist,1.0,Middle,7,7,7,7
control,201,1133,12,6,Guard,1.0,Middle,11,6 11,6 11 12 13,6 11 12 13
control,201,664,2,2,Boatman,1.0,Middle,2,2 16,2 11 16,2 11 15 16
