,participant_id,experiment,num_correct,time_taken,Age,Sex,Ethnicity
0,200,control,36,174.43,28,Female,Mixed
1,201,control,38,398.24,26,Female,Black
2,202,control,41,244.98,22,Female,White
3,203,control,40,422.84,26,Female,Black
4,204,control,39,142.64,23,Male,White
5,205,control,36,278.31,50,Male,White
6,206,control,38,223.61,49,Male,White
7,207,control,35,414.84,54,Female,White
8,208,control,43,147.46,29,Male,White
9,209,control,37,580.49,36,Female,White
10,210,control,35,345.99,28,Female,Black
11,211,control,39,183.58,51,Male,White
12,212,control,35,253.61,24,Male,Asian
13,213,control,38,159.85,31,Female,White
14,214,control,36,173.01,25,Female,White
15,215,control,36,84.83,20,Male,White
16,216,control,34,306.65,21,Female,Black
17,217,control,41,299.68,33,Male,White
18,218,control,38,271.61,54,Male,White
19,219,control,41,160.18,38,Female,White
20,220,control,42,285.39,34,Male,White
21,221,control,40,204.47,33,Male,White
22,222,control,40,156.68,42,Female,White
23,223,control,40,142.61,23,Male,White
24,224,control,41,283.14,34,Female,White
25,225,control,37,211.78,44,Female,White
26,226,control,39,226.67,39,Female,White
27,227,control,34,190.27,22,Male,White
28,228,control,40,140.63,20,Male,White
29,229,control,28,176.26,27,Male,White
30,230,control,36,321.34,23,Male,Black
31,231,control,40,298.03,28,Female,White
32,232,control,42,92.46,24,Male,Asian
33,233,control,33,114.52,26,Female,White
34,234,control,35,184.18,29,Male,White
35,235,control,36,196.15,27,Male,White
36,236,control,38,161.42,43,Female,White
37,237,control,39,208.46,28,Female,White
38,238,control,43,285.71,42,Female,Black
39,239,control,43,224.93,48,Female,White
40,240,control,42,227.53,21,Female,Black
41,241,control,41,360.26,27,Male,Black
42,242,control,38,358.28,26,Female,White
43,243,control,39,181.33,33,Male,White
44,244,control,35,484.17,37,Male,Black
45,245,control,36,400.96,31,Female,Black
46,246,control,37,163.14,26,Female,White
47,247,control,40,242.79,24,Male,Black
48,248,control,40,191.07,39,Male,White
49,249,control,32,624.17,29,Female,Black
50,250,avgk,44,198.06,40,Male,Black
51,251,avgk,42,247.88,34,Female,White
52,252,avgk,42,247.87,29,Male,Black
53,253,avgk,37,99.57,18,Male,White
54,254,avgk,40,159.75,29,Female,White
55,255,avgk,40,372.41,55,Female,DATA_EXPIRED
56,256,avgk,41,257.48,31,Male,White
57,257,avgk,33,241.87,25,Female,Black
58,258,avgk,35,199.05,20,Female,White
59,259,avgk,38,136.82,27,Female,White
60,260,avgk,38,250.65,22,Male,Mixed
61,261,avgk,42,226.55,24,Female,Black
62,262,avgk,36,160.26,33,Male,White
63,263,avgk,40,169.02,26,Female,White
64,264,avgk,41,343.71,33,Male,Asian
65,265,avgk,35,256.64,40,Male,Black
