experiment,participant_id,prompt_idx,response,label,label_text,group,group_text,top1,avgk_set,conformal_marginal_set,conformal_conditional_set
control,400,177,2,3,Happy,1.0,Female,1,1 2 4,1 2 4,1 2 4
control,400,59,6,6,Fearful,1.0,Female,6,3 4 6,3 4 6,3 4 6
control,400,272,5,5,Angry,1.0,Female,5,5 8,5 8,5 8
control,400,198,1,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,400,228,5,5,Angry,0.0,Male,5,5,5,5
control,400,148,2,2,Calm,1.0,Female,2,2,2 4,2
control,400,214,6,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,400,120,7,7,Disgust,0.0,Male,7,2 4 7,2 4 7,2 4 7
control,400,110,7,6,Fearful,0.0,Male,6,3 4 6,3 4 6,3 4 6
control,400,219,8,7,Disgust,0.0,Male,7,7,7,5 7
control,400,218,3,3,Happy,0.0,Male,1,1 2,1 2 8,1 2 8
control,400,212,5,5,Angry,0.0,Male,5,5 8,3 5 8,3 5 8
control,400,96,2,2,Calm,0.0,Male,2,2,2,1 2
control,400,14,3,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,400,209,2,2,Calm,1.0,Female,2,2,2,2
control,400,252,3,3,Happy,0.0,Male,3,3 4 6 8,3 6 8,3 6 8
control,400,305,8,8,Surprised,1.0,Female,8,3 8,8,8
control,400,23,8,8,Surprised,1.0,Female,8,3 8,3 8,3 8
control,400,289,4,4,Sad,0.0,Male,4,1 2 4,1 2 4,1 2 4
control,400,168,7,5,Angry,1.0,Female,5,5,5,5
control,400,242,2,2,Calm,1.0,Female,2,2,2,2
control,400,354,5,5,Angry,1.0,Female,5,5,5,5
control,400,344,6,6,Fearful,1.0,Female,6,3 6,3 4 6,3 6
control,400,79,7,6,Fearful,1.0,Female,6,3 6,3 6 8,3 6
control,400,317,5,7,Disgust,1.0,Female,7,7,7,7
control,400,283,2,1,Neutral,0.0,Male,1,1 2,1 2,1 2 4
control,400,350,3,7,Disgust,1.0,Female,7,5 7,5 7,7
control,400,136,5,5,Angry,1.0,Female,5,5,5,5
control,400,319,3,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,400,287,2,4,Sad,0.0,Male,2,1 2 4,1 2 4,1 2 4
control,400,197,7,7,Disgust,1.0,Female,7,7,7,7
control,400,179,6,6,Fearful,0.0,Male,6,3 6,3 6 8,3 6 8
control,400,307,3,3,Happy,1.0,Female,3,3 4 6,3 4 6,3 4 6
control,400,290,8,3,Happy,1.0,Female,6,3 6,3 4 6,3 6
control,400,80,7,7,Disgust,1.0,Female,7,5 7,5 7,5 7
control,400,321,3,8,Surprised,1.0,Female,8,3 8,3 8,8
control,400,355,4,4,Sad,1.0,Female,4,2 4,2 4,2 4
control,400,152,3,4,Sad,0.0,Male,4,4,4,2 4
control,400,5,4,4,Sad,0.0,Male,4,2 4,2 4,2 4
control,400,155,2,4,Sad,1.0,Female,2,2,2,2
control,400,72,4,4,Sad,1.0,Female,4,4,4,4
control,400,44,6,6,Fearful,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,400,82,7,6,Fearful,0.0,Male,4,3 4 6,3 4 6,3 4 6
control,400,103,2,2,Calm,0.0,Male,2,2,2,1 2
control,400,33,8,8,Surprised,0.0,Male,8,3 8,3 8,3 8
control,400,175,1,2,Calm,1.0,Female,2,1 2,1 2,1 2
control,400,160,5,5,Angry,1.0,Female,5,5,5,5
control,400,135,2,2,Calm,1.0,Female,2,1 2,2,2
control,400,351,3,3,Happy,0.0,Male,6,3 6 8,3 6 8,3 6 8
control,400,188,8,8,Surprised,0.0,Male,8,3 6 8,3 8,3 6 8
control,401,212,7,5,Angry,0.0,Male,5,5 8,3 5 8,3 5 8
control,401,206,7,5,Angry,1.0,Female,5,5,5,5
control,401,32,5,7,Disgust,1.0,Female,7,5 7,7,7
control,401,76,2,7,Disgust,0.0,Male,7,5 7,7,5 7
control,401,2,6,6,Fearful,1.0,Female,6,3 6,3 6,3 6
control,401,251,6,6,Fearful,0.0,Male,6,3 6 8,3 6 8,3 6 8
control,401,98,6,6,Fearful,0.0,Male,6,3 6,3 4 6,3 4 6
control,401,23,8,8,Surprised,1.0,Female,8,3 8,3 8,3 8
control,401,96,2,2,Calm,0.0,Male,2,2,2,1 2
control,401,14,8,8,Surprised,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,401,104,7,3,Happy,0.0,Male,6,3 5 6 8,3 5 6,3 5 6
control,401,233,6,6,Fearful,1.0,Female,6,3 6,3 5 6,3 5 6
control,401,94,5,5,Angry,1.0,Female,5,5,5,5
control,401,275,2,2,Calm,0.0,Male,2,2,2,1 2
control,401,198,1,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,401,114,4,2,Calm,1.0,Female,2,1 2,1 2,2
control,401,118,3,3,Happy,1.0,Female,1,1 2,1 2 4,1 2
control,401,111,2,2,Calm,0.0,Male,2,1 2,2,1 2
control,401,226,1,4,Sad,0.0,Male,2,2,2,1 2 4
control,401,47,7,7,Disgust,1.0,Female,7,5 7,7,7
control,401,1,2,6,Fearful,0.0,Male,4,2 4,2 4,1 2 4
control,401,298,8,8,Surprised,0.0,Male,8,1 3 8,1 3 8,1 3 8
control,401,155,4,4,Sad,1.0,Female,2,2,2,2
control,401,81,8,8,Surprised,1.0,Female,8,3 8,8,8
control,401,166,2,3,Happy,0.0,Male,8,3 6 8,3 6 8,3 6 8
control,401,101,7,7,Disgust,0.0,Male,7,5 7,5 7,5 7
control,401,109,4,1,Neutral,1.0,Female,2,1 2,1 2,1 2
control,401,45,3,7,Disgust,1.0,Female,7,7,7,7
control,401,211,4,2,Calm,0.0,Male,2,2,2,1 2
control,401,121,6,4,Sad,0.0,Male,4,3 4,3 4 6,3 4 6
control,401,115,5,5,Angry,0.0,Male,5,5,5,5
control,401,247,4,4,Sad,1.0,Female,4,3 4 6,3 4,3 4 6
control,401,60,3,3,Happy,0.0,Male,1,1 2,1 2,1 2 4
control,401,174,5,5,Angry,0.0,Male,5,5,5,5
control,401,313,5,5,Angry,0.0,Male,5,5,5,5
control,401,201,8,5,Angry,0.0,Male,5,5,5,5
control,401,97,8,8,Surprised,0.0,Male,8,1 3 6 8,1 3 8,1 3 8
control,401,193,5,5,Angry,1.0,Female,5,5,5,5
control,401,83,3,3,Happy,0.0,Male,3,3 4 6,3 4 6,3 4 6
control,401,137,6,6,Fearful,1.0,Female,6,3 4 6,3 4 6,3 4 6
control,401,70,2,2,Calm,0.0,Male,2,2,2,1 2
control,401,260,4,3,Happy,0.0,Male,2,1 2,1 2,1 2
control,401,357,4,4,Sad,1.0,Female,4,2 4,4,4
