,participant_id,experiment,num_correct,time_taken,Age,Sex,Ethnicity
0,400,control,32,322.0,44,Female,Black
1,401,control,32,97.56,35,Male,White
2,402,control,34,123.62,26,Male,White
3,403,control,31,45.15,36,Male,White
4,404,control,34,80.48,34,Female,White
5,405,control,36,62.84,29,Male,Other
6,406,control,36,62.47,18,Male,White
7,407,control,32,46.28,23,Female,Other
8,408,control,31,208.02,35,Female,Black
9,409,control,32,55.71,51,Female,White
10,410,control,26,72.26,24,Male,White
11,411,control,33,47.93,34,Male,White
12,412,control,35,350.1,34,Female,Black
13,413,control,20,165.61,43,Female,Black
14,414,control,36,235.53,41,Female,White
15,415,control,30,75.62,38,Male,Black
16,416,control,24,189.66,27,Female,Black
17,417,control,26,149.36,62,Male,White
18,418,control,37,153.48,27,Male,White
19,419,control,31,119.92,39,Female,White
20,420,control,36,37.32,29,Female,DATA_EXPIRED
21,421,control,32,90.04,36,Male,White
22,422,control,34,82.84,36,Female,White
23,423,control,30,68.4,47,Male,White
24,424,control,30,30.84,27,Female,White
25,425,control,21,64.26,40,Male,White
26,426,control,31,131.33,54,Male,Black
27,427,control,36,197.49,31,Male,Mixed
28,428,control,30,91.09,44,Male,White
29,429,control,19,62.47,52,Female,White
30,430,control,20,117.64,33,Female,Black
31,431,control,33,105.79,39,Female,Black
32,432,control,23,51.7,34,Male,White
33,433,control,25,129.23,21,Male,Black
34,434,control,32,73.61,41,Female,White
35,435,control,32,172.47,30,Female,White
36,436,control,31,42.59,23,Male,White
37,437,control,28,62.97,22,Female,White
38,438,control,36,74.67,28,Male,White
39,439,control,40,98.34,37,Female,White
40,440,control,37,99.05,26,Male,White
41,441,control,30,68.28,57,Male,Mixed
42,442,control,28,270.79,25,Female,Black
43,443,control,27,196.43,25,Male,Black
44,444,control,34,71.86,19,Female,White
45,445,control,39,33.26,30,Male,White
46,446,control,32,509.15,27,Male,White
47,447,control,30,378.86,24,Female,Black
48,448,control,29,44.09,27,Male,Other
49,449,control,32,42.44,29,Female,Other
50,450,avgk,28,144.27,35,Female,White
51,451,avgk,35,95.01,49,Male,White
52,452,avgk,36,222.68,26,Male,Other
53,453,avgk,34,128.25,20,Male,White
54,454,avgk,45,103.89,22,Male,White
55,455,avgk,35,288.23,24,Female,White
56,456,avgk,33,66.97,23,Male,White
57,457,avgk,35,120.37,25,Female,Black
58,458,avgk,38,95.04,29,Male,White
59,459,avgk,29,217.12,64,Male,Black
60,460,avgk,32,86.59,39,Female,Black
61,461,avgk,26,119.54,65,Male,White
62,462,avgk,35,213.36,32,Male,White
63,463,avgk,35,56.91,28,Male,White
64,464,avgk,39,102.34,28,Female,Other
65,465,avgk,40,205.01,40,Female,White
66,466,avgk,34,92.29,56,Female,White
67,467,avgk,32,47.37,30,Male,Mixed
68,468,avgk,34,127.86,27,Male,Black
69,469,avgk,38,156.51,39,Male,White
70,470,avgk,36,140.88,22,Female,White
71,471,avgk,29,189.86,41,Male,White
72,472,avgk,41,263.79,30,Female,White
73,473,avgk,34,192.07,56,Female,White
74,474,avgk,30,129.24,51,Female,Black
75,475,avgk,32,130.45,36,Male,White
76,476,avgk,35,182.07,45,Male,White
77,477,avgk,31,81.92,39,Female,White
78,478,avgk,37,129.11,39,Male,White
79,479,avgk,40,145.66,27,Male,White
80,480,avgk,34,107.63,33,Female,Black
81,481,avgk,35,247.65,44,Male,Black
82,482,avgk,25,155.71,28,Female,Black
83,483,avgk,32,62.63,21,Male,White
84,484,avgk,30,93.79,26,Female,White
85,485,avgk,31,377.38,27,Male,White
86,486,avgk,32,51.03,30,Female,Asian
87,487,avgk,29,110.47,24,Female,Black
88,488,avgk,39,354.76,46,Female,White
89,489,avgk,32,116.36,32,Male,White
90,490,avgk,41,138.46,45,Male,White
91,491,avgk,36,126.3,43,Female,Mixed
92,492,avgk,33,445.96,29,Female,Black
93,493,avgk,32,76.16,31,Female,White
94,494,avgk,39,61.53,24,Male,White
95,495,avgk,32,165.67,29,Female,Black
96,496,avgk,39,181.86,19,Male,White
97,497,avgk,28,49.2,34,Male,Asian
98,498,avgk,30,274.21,53,Male,White
99,499,avgk,29,110.96,22,Female,Black
100,500,marginal,37,123.45,21,Female,Black
101,501,marginal,30,216.76,44,Female,White
102,502,marginal,39,154.46,23,Male,Mixed
103,503,marginal,36,79.7,24,Male,Black
104,504,marginal,34,219.38,44,Male,White
105,505,marginal,30,161.25,26,Male,White
106,506,marginal,38,76.37,50,Female,White
107,507,marginal,42,210.09,50,Male,White
108,508,marginal,32,82.9,33,Female,White
109,509,marginal,36,143.69,22,Male,White
